ui|de
Home|Home

ui_mainpage_loading|loading...
ui_mainpage_readmefile|./inst/files/main_de.html

Single Chart|Einzelhoroskop
ui_nav_page_transit|行運週期
ui_nav_page_intro|說明

Horoscope Calculator|Horoskoprechner

zh-tw|繁體中文
en|English
de|Deutsch

intro_essential_dignity|先天狀態簡介
intro_aspect|相位簡介
intro_privacy|隱私權聲明

value_1|zh
value_2|en
value_3|de

please_enter_data|Datum und Uhrzeit
click_to_change|Klicke zur Eingabe

country|Land
city|Stadt
more_cities|Weitere Städte

show_chart|Update Chart

Taiwan|Taiwan
Andorra|Andorra
United Arab Emirates|United Arab Emirates
Afghanistan|Afghanistan
Antigua and Barbuda|Antigua and Barbuda
Anguilla|Anguilla
Albania|Albania
Armenia|Armenia
Angola|Angola
Antarctica|Antarctica
Argentina|Argentina
American Samoa|American Samoa
Austria|Austria
Australia|Australia
Aruba|Aruba
Aland Islands|Aland Islands
Azerbaijan|Azerbaijan
Bosnia and Herzegovina|Bosnia and Herzegovina
Barbados|Barbados
Bangladesh|Bangladesh
Belgium|Belgium
Burkina Faso|Burkina Faso
Bulgaria|Bulgaria
Bahrain|Bahrain
Burundi|Burundi
Benin|Benin
Saint Barthelemy|Saint Barthelemy
Bermuda|Bermuda
Brunei|Brunei
Bolivia|Bolivia
Bonaire, Saint Eustatius and Saba|Bonaire, Saint Eustatius and Saba
Brazil|Brazil
Bahamas|Bahamas
Bhutan|Bhutan
Botswana|Botswana
Belarus|Belarus
Belize|Belize
Canada|Canada
Cocos Islands|Cocos Islands
Democratic Republic of the Congo|Democratic Republic of the Congo
Central African Republic|Central African Republic
Republic of the Congo|Republic of the Congo
Switzerland|Switzerland
Ivory Coast|Ivory Coast
Cook Islands|Cook Islands
Chile|Chile
Cameroon|Cameroon
China|China
Colombia|Colombia
Costa Rica|Costa Rica
Cuba|Cuba
Cabo Verde|Cabo Verde
Curacao|Curacao
Christmas Island|Christmas Island
Cyprus|Cyprus
Czechia|Czechia
Germany|Germany
Djibouti|Djibouti
Denmark|Denmark
Dominica|Dominica
Dominican Republic|Dominican Republic
Algeria|Algeria
Ecuador|Ecuador
Estonia|Estonia
Egypt|Egypt
Western Sahara|Western Sahara
Eritrea|Eritrea
Spain|Spain
Ethiopia|Ethiopia
Finland|Finland
Fiji|Fiji
Falkland Islands|Falkland Islands
Micronesia|Micronesia
Faroe Islands|Faroe Islands
France|France
Gabon|Gabon
United Kingdom|United Kingdom
Grenada|Grenada
Georgia|Georgia
French Guiana|French Guiana
Guernsey|Guernsey
Ghana|Ghana
Gibraltar|Gibraltar
Greenland|Greenland
Gambia|Gambia
Guinea|Guinea
Guadeloupe|Guadeloupe
Equatorial Guinea|Equatorial Guinea
Greece|Greece
South Georgia and the South Sandwich Islands|South Georgia and the South Sandwich Islands
Guatemala|Guatemala
Guam|Guam
Guinea-Bissau|Guinea-Bissau
Guyana|Guyana
Hong Kong|Hong Kong
Honduras|Honduras
Croatia|Croatia
Haiti|Haiti
Hungary|Hungary
Indonesia|Indonesia
Ireland|Ireland
Israel|Israel
Isle of Man|Isle of Man
India|India
Iraq|Iraq
Iran|Iran
Iceland|Iceland
Italy|Italy
Jersey|Jersey
Jamaica|Jamaica
Jordan|Jordan
Japan|Japan
Kenya|Kenya
Kyrgyzstan|Kyrgyzstan
Cambodia|Cambodia
Kiribati|Kiribati
Comoros|Comoros
Saint Kitts and Nevis|Saint Kitts and Nevis
North Korea|North Korea
South Korea|South Korea
Kuwait|Kuwait
Cayman Islands|Cayman Islands
Kazakhstan|Kazakhstan
Laos|Laos
Lebanon|Lebanon
Saint Lucia|Saint Lucia
Liechtenstein|Liechtenstein
Sri Lanka|Sri Lanka
Liberia|Liberia
Lesotho|Lesotho
Lithuania|Lithuania
Luxembourg|Luxembourg
Latvia|Latvia
Libya|Libya
Morocco|Morocco
Monaco|Monaco
Moldova|Moldova
Montenegro|Montenegro
Saint Martin|Saint Martin
Madagascar|Madagascar
Marshall Islands|Marshall Islands
North Macedonia|North Macedonia
Mali|Mali
Myanmar|Myanmar
Mongolia|Mongolia
Macao|Macao
Northern Mariana Islands|Northern Mariana Islands
Martinique|Martinique
Mauritania|Mauritania
Montserrat|Montserrat
Malta|Malta
Mauritius|Mauritius
Maldives|Maldives
Malawi|Malawi
Mexico|Mexico
Malaysia|Malaysia
Mozambique|Mozambique
New Caledonia|New Caledonia
Niger|Niger
Norfolk Island|Norfolk Island
Nigeria|Nigeria
Nicaragua|Nicaragua
The Netherlands|The Netherlands
Norway|Norway
Nepal|Nepal
Nauru|Nauru
Niue|Niue
New Zealand|New Zealand
Oman|Oman
Panama|Panama
Peru|Peru
French Polynesia|French Polynesia
Papua New Guinea|Papua New Guinea
Philippines|Philippines
Pakistan|Pakistan
Poland|Poland
Saint Pierre and Miquelon|Saint Pierre and Miquelon
Pitcairn|Pitcairn
Puerto Rico|Puerto Rico
Palestinian Territory|Palestinian Territory
Portugal|Portugal
Palau|Palau
Paraguay|Paraguay
Qatar|Qatar
Reunion|Reunion
Romania|Romania
Serbia|Serbia
Russia|Russia
Rwanda|Rwanda
Saudi Arabia|Saudi Arabia
Solomon Islands|Solomon Islands
Seychelles|Seychelles
Sudan|Sudan
Sweden|Sweden
Singapore|Singapore
Saint Helena|Saint Helena
Slovenia|Slovenia
Svalbard and Jan Mayen|Svalbard and Jan Mayen
Slovakia|Slovakia
Sierra Leone|Sierra Leone
San Marino|San Marino
Senegal|Senegal
Somalia|Somalia
Suriname|Suriname
South Sudan|South Sudan
Sao Tome and Principe|Sao Tome and Principe
El Salvador|El Salvador
Sint Maarten|Sint Maarten
Syria|Syria
Eswatini|Eswatini
Turks and Caicos Islands|Turks and Caicos Islands
Chad|Chad
French Southern Territories|French Southern Territories
Togo|Togo
Thailand|Thailand
Tajikistan|Tajikistan
Tokelau|Tokelau
Timor Leste|Timor Leste
Turkmenistan|Turkmenistan
Tunisia|Tunisia
Tonga|Tonga
Turkey|Turkey
Trinidad and Tobago|Trinidad and Tobago
Tuvalu|Tuvalu
Tanzania|Tanzania
Ukraine|Ukraine
Uganda|Uganda
United States|United States
Uruguay|Uruguay
Uzbekistan|Uzbekistan
Vatican|Vatican
Saint Vincent and the Grenadines|Saint Vincent and the Grenadines
Venezuela|Venezuela
British Virgin Islands|British Virgin Islands
U.S. Virgin Islands|U.S. Virgin Islands
Vietnam|Vietnam
Vanuatu|Vanuatu
Wallis and Futuna|Wallis and Futuna
Samoa|Samoa
Kosovo|Kosovo
Yemen|Yemen
Mayotte|Mayotte
South Africa|South Africa
Zambia|Zambia
Zimbabwe|Zimbabwe
